针不戳,Date,DecryptedData
0,2021-01-01,1186
1,2021-01-02,1138
2,2021-01-03,1129
3,2021-01-04,1175
4,2021-01-05,1143
5,2021-01-06,1134
6,2021-01-07,1171
7,2021-01-08,1127
8,2021-01-09,1046
9,2021-01-10,1046
10,2021-01-11,1130
11,2021-01-12,1146
12,2021-01-13,1118
13,2021-01-14,1124
14,2021-01-15,1134
15,2021-01-16,1053
16,2021-01-17,1079
17,2021-01-18,1137
18,2021-01-19,1012
19,2021-01-20,1010
20,2021-01-21,1085
21,2021-01-22,1093
22,2021-01-23,1037
23,2021-01-24,1024
24,2021-01-25,1101
25,2021-01-26,1053
26,2021-01-27,1123
27,2021-01-28,1084
28,2021-01-29,1100
29,2021-01-30,1031
30,2021-01-31,1048
31,2021-02-01,1090
32,2021-02-02,1154
33,2021-02-03,1100
34,2021-02-04,1094
35,2021-02-05,1102
36,2021-02-06,1021
37,2021-02-07,1051
38,2021-02-08,1072
39,2021-02-09,1046
40,2021-02-10,1047
41,2021-02-11,1097
42,2021-02-12,1047
43,2021-02-13,1022
44,2021-02-14,1034
45,2021-02-15,1017
46,2021-02-16,998
47,2021-02-17,1010
48,2021-02-18,1075
49,2021-02-19,1058
50,2021-02-20,1049
51,2021-02-21,932
52,2021-02-22,956
53,2021-02-23,935
54,2021-02-24,972
55,2021-02-25,938
56,2021-02-26,951
57,2021-02-27,950
58,2021-02-28,816
59,2021-03-01,797
60,2021-03-02,712
61,2021-03-03,728
62,2021-03-04,716
63,2021-03-05,732
64,2021-03-06,820
65,2021-03-07,808
66,2021-03-08,817
67,2021-03-09,715
68,2021-03-10,711
69,2021-03-11,756
70,2021-03-12,749
71,2021-03-13,781
72,2021-03-14,881
73,2021-03-15,783
74,2021-03-16,752
75,2021-03-17,658
76,2021-03-18,730
77,2021-03-19,676
78,2021-03-20,730
79,2021-03-21,745
80,2021-03-22,663
81,2021-03-23,681
82,2021-03-24,681
83,2021-03-25,711
84,2021-03-26,722
85,2021-03-27,750
86,2021-03-28,764
87,2021-03-29,783
88,2021-03-30,712
89,2021-03-31,672
90,2021-04-01,648
91,2021-04-02,726
92,2021-04-03,699
93,2021-04-04,754
94,2021-04-05,705
95,2021-04-06,675
96,2021-04-07,626
97,2021-04-08,633
98,2021-04-09,624
99,2021-04-10,653
100,2021-04-11,596
101,2021-04-12,674
102,2021-04-13,613
103,2021-04-14,675
104,2021-04-15,712
105,2021-04-16,635
106,2021-04-17,665
107,2021-04-18,604
108,2021-04-19,678
109,2021-04-20,643
110,2021-04-21,621
111,2021-04-22,687
112,2021-04-23,640
113,2021-04-24,638
114,2021-04-25,655
115,2021-04-26,568
116,2021-04-27,611
117,2021-04-28,544
118,2021-04-29,565
119,2021-04-30,633
120,2021-05-01,601
121,2021-05-02,678
122,2021-05-03,679
123,2021-05-04,665
124,2021-05-05,653
125,2021-05-06,595
126,2021-05-07,539
127,2021-05-08,584
128,2021-05-09,561
129,2021-05-10,535
130,2021-05-11,548
131,2021-05-12,517
132,2021-05-13,539
133,2021-05-14,539
134,2021-05-15,560
135,2021-05-16,576
136,2021-05-17,536
137,2021-05-18,572
138,2021-05-19,523
139,2021-05-20,634
140,2021-05-21,594
141,2021-05-22,497
142,2021-05-23,523
143,2021-05-24,534
144,2021-05-25,534
145,2021-05-26,502
146,2021-05-27,513
147,2021-05-28,502
148,2021-05-29,520
149,2021-05-30,523
150,2021-05-31,533
151,2021-06-01,600
152,2021-06-02,513
153,2021-06-03,487
154,2021-06-04,487
155,2021-06-05,532
156,2021-06-06,545
157,2021-06-07,535
158,2021-06-08,498
159,2021-06-09,528
160,2021-06-10,502
161,2021-06-11,502
162,2021-06-12,536
163,2021-06-13,539
164,2021-06-14,643
165,2021-06-15,561
166,2021-06-16,533
167,2021-06-17,488
168,2021-06-18,515
169,2021-06-19,531
170,2021-06-20,536
171,2021-06-21,518
172,2021-06-22,503
173,2021-06-23,481
174,2021-06-24,516
175,2021-06-25,542
176,2021-06-26,580
177,2021-06-27,529
178,2021-06-28,546
179,2021-06-29,505
180,2021-06-30,536
181,2021-07-01,491
182,2021-07-02,445
183,2021-07-03,505
184,2021-07-04,489
185,2021-07-05,529
186,2021-07-06,520
187,2021-07-07,498
188,2021-07-08,488
189,2021-07-09,533
190,2021-07-10,535
191,2021-07-11,504
192,2021-07-12,529
193,2021-07-13,511
194,2021-07-14,500
195,2021-07-15,549
196,2021-07-16,526
197,2021-07-17,489
198,2021-07-18,513
199,2021-07-19,521
200,2021-07-20,549
201,2021-07-21,500
202,2021-07-22,494
203,2021-07-23,539
204,2021-07-24,459
205,2021-07-25,543
206,2021-07-26,493
207,2021-07-27,534
208,2021-07-28,468
209,2021-07-29,485
210,2021-07-30,497
211,2021-07-31,437
212,2021-08-01,476
213,2021-08-02,431
214,2021-08-03,411
215,2021-08-04,433
216,2021-08-05,488
217,2021-08-06,467
218,2021-08-07,495
219,2021-08-08,469
220,2021-08-09,462
221,2021-08-10,472
222,2021-08-11,468
223,2021-08-12,536
224,2021-08-13,490
225,2021-08-14,542
226,2021-08-15,508
227,2021-08-16,446
228,2021-08-17,538
229,2021-08-18,480
230,2021-08-19,469
231,2021-08-20,507
232,2021-08-21,459
233,2021-08-22,451
234,2021-08-23,511
235,2021-08-24,522
236,2021-08-25,454
237,2021-08-26,464
238,2021-08-27,467
239,2021-08-28,442
240,2021-08-29,491
241,2021-08-30,478
242,2021-08-31,473
243,2021-09-01,399
244,2021-09-02,423
245,2021-09-03,399
246,2021-09-04,464
247,2021-09-05,409
248,2021-09-06,418
249,2021-09-07,423
250,2021-09-08,735
251,2021-09-09,423
252,2021-09-10,450
253,2021-09-11,437
254,2021-09-12,439
255,2021-09-13,984
256,2021-09-14,413
257,2021-09-15,413
258,2021-09-16,407
259,2021-09-17,415
260,2021-09-18,494
261,2021-09-19,511
262,2021-09-20,534
263,2021-09-21,623
264,2021-09-22,481
265,2021-09-23,427
266,2021-09-24,421
267,2021-09-25,414
268,2021-09-26,385
269,2021-09-27,436
270,2021-09-28,448
271,2021-09-29,371
272,2021-09-30,463
273,2021-10-01,474
274,2021-10-02,488
275,2021-10-03,518
276,2021-10-04,473
277,2021-10-05,460
278,2021-10-06,474
279,2021-10-07,479
280,2021-10-08,371
281,2021-10-09,370
282,2021-10-10,370
283,2021-10-11,367
284,2021-10-12,367
285,2021-10-13,358
286,2021-10-14,387
287,2021-10-15,338
288,2021-10-16,365
289,2021-10-17,369
290,2021-10-18,384
291,2021-10-19,370
292,2021-10-20,355
293,2021-10-21,318
294,2021-10-22,352
295,2021-10-23,384
296,2021-10-24,404
297,2021-10-25,371
298,2021-10-26,373
299,2021-10-27,377
300,2021-10-28,398
301,2021-10-29,347
302,2021-10-30,402
303,2021-10-31,381
304,2021-11-01,339
305,2021-11-02,317
306,2021-11-03,339
307,2021-11-04,328
308,2021-11-05,337
309,2021-11-06,336
310,2021-11-07,346
311,2021-11-08,349
312,2021-11-09,358
313,2021-11-10,328
314,2021-11-11,349
315,2021-11-12,379
316,2021-11-13,366
317,2021-11-14,412
318,2021-11-15,358
319,2021-11-16,334
320,2021-11-17,381
321,2021-11-18,346
322,2021-11-19,345
323,2021-11-20,338
324,2021-11-21,402
325,2021-11-22,337
326,2021-11-23,362
327,2021-11-24,334
328,2021-11-25,339
329,2021-11-26,344
330,2021-11-27,352
331,2021-11-28,404
332,2021-11-29,345
333,2021-11-30,329
334,2021-12-01,349
335,2021-12-02,312
336,2021-12-03,372
337,2021-12-04,326
338,2021-12-05,367
339,2021-12-06,372
340,2021-12-07,529
341,2021-12-08,331
342,2021-12-09,329
343,2021-12-10,322
344,2021-12-11,360
345,2021-12-12,338
346,2021-12-13,304
347,2021-12-14,347
348,2021-12-15,319
349,2021-12-16,336
350,2021-12-17,330
351,2021-12-18,323
352,2021-12-19,330
353,2021-12-20,325
354,2021-12-21,363
355,2021-12-22,326
356,2021-12-23,301
357,2021-12-24,346
358,2021-12-25,319
359,2021-12-26,327
360,2021-12-27,315
361,2021-12-28,335
362,2021-12-29,342
363,2021-12-30,338
364,2021-12-31,404
